To:  me
 · 
Sun, Feb 15 at 12:06 PM
Message Body
Number      Picks
26    477
4     463
15    463
8     458
27    455
19    454
31    451
10    449
5     446
39    445
21    443
16    440
38    440
9     438
14    438
44    437
29    435
12    432
22    432
28    432
35    432
24    431
41    431
17    430
3     429
13    429
32    429
7     427
18    427
6     424
42    423
43    423
37    422
40    422
33    419
34    417
1     414
20    412
2     411
25    411
11    410
30    407
49    407
36    405
23    393
46    364
45    362
47    361
50    361
48    359
52    306
54    293
51    276
53    267


